"age" "fnlwgt" "education.num" "marital.status" "occupation" "relationship" "race" "sex" "capital.gain" "capital.loss" "hours.per.week" "native.country" "income"
1.5910646070265 77516 13 " Never-married" " Adm-clerical" " Not-in-family" " White" " Male" 2174 0 40 " United-States" " <=50K"
1.69897000433602 83311 13 " Married-civ-spouse" " Exec-managerial" " Husband" " White" " Male" 0 0 13 " United-States" " <=50K"
1.57978359661681 215646 9 " Divorced" " Handlers-cleaners" " Not-in-family" " White" " Male" 0 0 40 " United-States" " <=50K"
1.72427586960079 234721 7 " Married-civ-spouse" " Handlers-cleaners" " Husband" " Black" " Male" 0 0 40 " United-States" " <=50K"
1.44715803134222 338409 13 " Married-civ-spouse" " Prof-specialty" " Wife" " Black" " Female" 0 0 40 " Cuba" " <=50K"
1.56820172406699 284582 14 " Married-civ-spouse" " Exec-managerial" " Wife" " White" " Female" 0 0 40 " United-States" " <=50K"
1.69019608002851 160187 5 " Married-spouse-absent" " Other-service" " Not-in-family" " Black" " Female" 0 0 16 " Jamaica" " <=50K"
1.7160033436348 209642 9 " Married-civ-spouse" " Exec-managerial" " Husband" " White" " Male" 0 0 45 " United-States" " >50K"
1.49136169383427 45781 14 " Never-married" " Prof-specialty" " Not-in-family" " White" " Female" 14084 0 50 " United-States" " >50K"
1.6232492903979 159449 13 " Married-civ-spouse" " Exec-managerial" " Husband" " White" " Male" 5178 0 40 " United-States" " >50K"
1.56820172406699 280464 10 " Married-civ-spouse" " Exec-managerial" " Husband" " Black" " Male" 0 0 80 " United-States" " >50K"
1.47712125471966 141297 13 " Married-civ-spouse" " Prof-specialty" " Husband" " Asian-Pac-Islander" " Male" 0 0 40 " India" " >50K"
1.36172783601759 122272 13 " Never-married" " Adm-clerical" " Own-child" " White" " Female" 0 0 30 " United-States" " <=50K"
1.50514997831991 205019 12 " Never-married" " Sales" " Not-in-family" " Black" " Male" 0 0 50 " United-States" " <=50K"
1.60205999132796 121772 11 " Married-civ-spouse" " Craft-repair" " Husband" " Asian-Pac-Islander" " Male" 0 0 40 " ?" " >50K"
1.53147891704226 245487 4 " Married-civ-spouse" " Transport-moving" " Husband" " Amer-Indian-Eskimo" " Male" 0 0 45 " Mexico" " <=50K"
1.39794000867204 176756 9 " Never-married" " Farming-fishing" " Own-child" " White" " Male" 0 0 35 " United-States" " <=50K"
1.50514997831991 186824 9 " Never-married" " Machine-op-inspct" " Unmarried" " White" " Male" 0 0 40 " United-States" " <=50K"
1.57978359661681 28887 7 " Married-civ-spouse" " Sales" " Husband" " White" " Male" 0 0 50 " United-States" " <=50K"
1.63346845557959 292175 14 " Divorced" " Exec-managerial" " Unmarried" " White" " Female" 0 0 45 " United-States" " >50K"
1.60205999132796 193524 16 " Married-civ-spouse" " Prof-specialty" " Husband" " White" " Male" 0 0 60 " United-States" " >50K"
1.73239375982297 302146 9 " Separated" " Other-service" " Unmarried" " Black" " Female" 0 0 20 " United-States" " <=50K"
1.54406804435028 76845 5 " Married-civ-spouse" " Farming-fishing" " Husband" " Black" " Male" 0 0 40 " United-States" " <=50K"
1.63346845557959 117037 7 " Married-civ-spouse" " Transport-moving" " Husband" " White" " Male" 0 2042 40 " United-States" " <=50K"
1.77085201164214 109015 9 " Divorced" " Tech-support" " Unmarried" " White" " Female" 0 0 40 " United-States" " <=50K"
1.7481880270062 216851 13 " Married-civ-spouse" " Tech-support" " Husband" " White" " Male" 0 0 40 " United-States" " >50K"
1.27875360095283 168294 9 " Never-married" " Craft-repair" " Own-child" " White" " Male" 0 0 40 " United-States" " <=50K"
1.73239375982297 180211 10 " Married-civ-spouse" " ?" " Husband" " Asian-Pac-Islander" " Male" 0 0 60 " South" " >50K"
1.5910646070265 367260 9 " Divorced" " Exec-managerial" " Not-in-family" " White" " Male" 0 0 80 " United-States" " <=50K"
1.69019608002851 193366 9 " Married-civ-spouse" " Craft-repair" " Husband" " White" " Male" 0 0 40 " United-States" " <=50K"
1.36172783601759 190709 12 " Never-married" " Protective-serv" " Not-in-family" " White" " Male" 0 0 52 " United-States" " <=50K"
1.30102999566398 266015 10 " Never-married" " Sales" " Own-child" " Black" " Male" 0 0 44 " United-States" " <=50K"
1.65321251377534 386940 13 " Divorced" " Exec-managerial" " Own-child" " White" " Male" 0 1408 40 " United-States" " <=50K"
1.47712125471966 59951 10 " Married-civ-spouse" " Adm-clerical" " Own-child" " White" " Male" 0 0 40 " United-States" " <=50K"
1.34242268082221 311512 10 " Married-civ-spouse" " Other-service" " Husband" " Black" " Male" 0 0 15 " United-States" " <=50K"
1.68124123737559 242406 7 " Never-married" " Machine-op-inspct" " Unmarried" " White" " Male" 0 0 40 " Puerto-Rico" " <=50K"
1.32221929473392 197200 10 " Never-married" " Machine-op-inspct" " Own-child" " White" " Male" 0 0 40 " United-States" " <=50K"
1.27875360095283 544091 9 " Married-AF-spouse" " Adm-clerical" " Wife" " White" " Female" 0 0 25 " United-States" " <=50K"
1.49136169383427 84154 10 " Married-civ-spouse" " Sales" " Husband" " White" " Male" 0 0 38 " ?" " >50K"
1.68124123737559 265477 12 " Married-civ-spouse" " Prof-specialty" " Husband" " White" " Male" 0 0 40 " United-States" " <=50K"
1.49136169383427 507875 5 " Married-civ-spouse" " Machine-op-inspct" " Husband" " White" " Male" 0 0 43 " United-States" " <=50K"
1.72427586960079 88506 13 " Married-civ-spouse" " Prof-specialty" " Husband" " White" " Male" 0 0 40 " United-States" " <=50K"
1.38021124171161 172987 13 " Married-civ-spouse" " Tech-support" " Husband" " White" " Male" 0 0 50 " United-States" " <=50K"
1.69019608002851 94638 9 " Separated" " Adm-clerical" " Unmarried" " White" " Female" 0 0 40 " United-States" " <=50K"
1.39794000867204 289980 9 " Never-married" " Handlers-cleaners" " Not-in-family" " White" " Male" 0 0 35 " United-States" " <=50K"
1.75587485567249 337895 13 " Married-civ-spouse" " Prof-specialty" " Husband" " Black" " Male" 0 0 40 " United-States" " >50K"
1.72427586960079 144361 9 " Married-civ-spouse" " Machine-op-inspct" " Husband" " White" " Male" 0 0 38 " United-States" " <=50K"
1.64345267648619 128354 14 " Divorced" " Exec-managerial" " Unmarried" " White" " Female" 0 0 40 " United-States" " <=50K"
1.61278385671974 101603 11 " Married-civ-spouse" " Craft-repair" " Husband" " White" " Male" 0 0 40 " United-States" " <=50K"
1.46239799789896 271466 11 " Never-married" " Prof-specialty" " Not-in-family" " White" " Male" 0 0 43 " United-States" " <=50K"
